CV_Method,Model,n,R2,RMSE,ME
LOOCV,Cubist,NA,-0.00286080529103704,39.50479830731401,-0.4598196623128068
Spatial CV (5 km buffer),Cubist,88,-0.07791526691246986,40.9564052248248,-1.308677812187658
LOOCV,Ensemble,NA,0.2143327754237061,34.96623224839035,-4.463655285026852
Spatial CV (5 km buffer),Ensemble,88,0.2840793649237491,33.37812678122298,-5.523663894967505
LOOCV,RF,NA,0.218690232928904,34.86913279337558,-4.510534027160927
Spatial CV (5 km buffer),RF,88,0.1874740356868686,35.55888574219213,-5.305173571150439
LOOCV,SVM,NA,0.1976378860587932,35.33578360987723,0.4321918313122499
Spatial CV (5 km buffer),SVM,88,0.16490498095743122,36.049352323330986,0.14894099206318856
LOOCV,XGBoost,NA,0.2521821811071677,34.11358991146488,-3.9945155236632055
Spatial CV (5 km buffer),XGBoost,88,0.21005417585274644,35.06131281937113,-5.006908994000888
