Variable,Frequency,Percentage
PRSCHE3,81,81
P04CHE3,81,81
I04MOD4,67,67
P10CHE3,65,65
P05CHE3,61,61
MRNMRG5,61,61
C07MCF5,61,61
P09CHE3,55,55.00000000000001
P06CHE3,55,55.00000000000001
EX6MOD5,54,54
C03MCF5,53,53
VBFMRG5,53,53
CRVMRG5,51,51
P07CHE3,49,49
C01MCF5,47,47
CRUMRG5,47,47
I12MOD4,44,44
C06MCF5,43,43
SLPMRG5,42,42
C11MCF5,42,42
N04MSD3,41,41
ES1MOD5,40,40
C04MCF5,38,38
EX1MOD5,36,36
C12MCF5,34,34
T09MOD3,33,33
DEMENV5,31,31
C02MCF5,30,30
C05MCF5,29,28.999999999999996
I09MOD4,27,27
MANMCF5,27,27
TWIMRG5,26,26
I06MOD4,25,25
ES6MOD5,25,25
B14CHE3,25,25
T03MSD3,25,25
I05MOD4,24,24
N07MOD3,23,23
M06MOD4,23,23
M09MOD4,22,22
CRDMRG5,22,22
M04MOD4,22,22
N01MSD3,21,21
I08MOD4,20,20
P08CHE3,19,19
ES3MOD5,18,18
ES2MOD5,17,17
N11MSD3,17,17
POSMRG5,16,16
T07MOD3,16,16
N03MSD3,16,16
T05MOD3,15,15
P03CHE3,14,14.000000000000002
TPIMRG5,14,14.000000000000002
C09MCF5,13,13
SW1L14,12,12
N02MSD3,12,12
SW2L14,12,12
M11MOD4,12,12
T08MOD3,12,12
T10MSD3,12,12
VDPMRG5,11,11
T02MOD3,11,11
T06MOD3,11,11
EX4MOD5,11,11
EX5MOD5,11,11
N12MSD3,10,10
DVMMRG5,10,10
EX2MOD5,9,9
T01MSD3,9,9
T06MSD3,8,8
T12MSD3,8,8
B13CHE3,8,8
P12CHE3,8,8
T02MSD3,8,8
REDL14,7,7.000000000000001
I11MOD4,7,7.000000000000001
B02CHE3,7,7.000000000000001
N06MSD3,7,7.000000000000001
VW1MOD1,7,7.000000000000001
DV2MRG5,7,7.000000000000001
N05MSD3,6,6
ENTENV3,6,6
M10MOD4,6,6
N12MOD3,6,6
I03MOD4,6,6
REDL00,6,6
I01MOD4,6,6
N06MOD3,6,6
P11CHE3,6,6
ES4MOD5,6,6
I07MOD4,6,6
F02USG5,6,6
T09MSD3,5,5
B04CHE3,5,5
LCEE10,5,5
VW2MOD1,5,5
T07MSD3,4,4
EX3MOD5,4,4
SW1L00,4,4
M07MOD4,4,4
M12MOD4,4,4
BARL10,4,4
MAXENV3,4,4
N05MOD3,4,4
N09MSD3,4,4
T05MSD3,4,4
EVEENV3,3,3
RANENV3,3,3
T08MSD3,3,3
T11MSD3,3,3
I02MOD4,3,3
M05MOD4,3,3
M08MOD4,3,3
C10MCF5,3,3
N08MSD3,3,3
ES5MOD5,3,3
TMDMOD3,2,2
T10MOD3,2,2
C08MCF5,2,2
M03MOD4,2,2
N10MSD3,2,2
TREL10,2,2
NIRL00,2,2
NEGMRG5,2,2
N08MOD3,2,2
N07MSD3,1,1
P02CHE3,1,1
T01MOD3,1,1
F06USG5,1,1
T03MOD3,1,1
T04MSD3,1,1
M02MOD4,1,1
T04MOD3,1,1
NIRL14,1,1
VW3MOD1,1,1
I10MOD4,1,1
VW5MOD1,1,1
N04MOD3,1,1
T12MOD3,1,1
SW2L00,1,1
VW4MOD1,1,1
N09MOD3,1,1
